PUNTO (1),,
x,y,z
1276.603,2765.427,146.268
1279.243,2764.858,146.187
1281.888,2764.29,146.106
1284.088,2763.829,146.04
1286.185,2763.369,145.974
1287.261,2763.139,145.941
1289.217,2762.722,145.881
1291.418,2762.256,145.814
1292.641,2761.997,145.776
1293.864,2761.739,145.739
1296.066,2761.275,145.671
1298.023,2760.864,145.611
1301.057,2760.228,145.518
1304.091,2759.595,145.425
1307.127,2758.966,145.332
1310.163,2758.338,145.239
1313.199,2757.714,145.146
1316.286,2757.091,145.053
1319.273,2756.472,144.96
1321.919,2755.934,144.879
1324.566,2755.4,144.798
1327.213,2754.866,144.717
1329.86,2754.335,144.636
1332.508,2753.806,144.555
1335.155,2753.278,144.474
1337.314,2752.85,144.408
1339.472,2752.423,144.342
1340.551,2752.211,144.309
1342.513,2751.824,144.249
1344.721,2751.391,144.182
1345.948,2751.151,144.144
1347.175,2750.911,144.107
1349.383,2750.481,144.039
1351.346,2750.1,143.979
1354.39,2749.511,143.886
1357.485,2748.925,143.793
1360.479,2748.342,143.7
1363.524,2747.761,143.607
1366.569,2747.182,143.514
1369.615,2746.607,143.421
1372.662,2746.034,143.328
1375.316,2745.537,143.247
1377.97,2745.043,143.166
1380.625,2744.55,143.085
1383.28,2744.059,143.004
1385.985,2743.571,142.923
1388.591,2743.084,142.842
1390.756,2742.689,142.776
1392.92,2742.296,142.71
1394.002,2742.099,142.677
1395.97,2741.743,142.617
1398.185,2741.344,142.55
1399.415,2741.122,142.512
1400.645,2740.902,142.475
1402.86,2740.505,142.407
1404.829,2740.154,142.347
1407.881,2739.612,142.254
1410.934,2739.073,142.161
1413.987,2738.536,142.068
1417.041,2738.002,141.975
1420.095,2737.47,141.882
1423.15,2736.942,141.789
1426.204,2736.416,141.696
1428.866,2735.96,141.615
1431.528,2735.506,141.534
1434.189,2735.054,141.453
1436.851,2734.604,141.372
1439.514,2734.156,141.291
1442.177,2733.71,141.211
1444.347,2733.349,141.146
1446.517,2732.988,141.081
1447.602,2732.808,141.049
1449.575,2732.482,140.99
1451.796,2732.117,140.925
1453.029,2731.914,140.888
1454.263,2731.713,140.852
1456.483,2731.35,140.787
1458.457,2731.029,140.729
1461.518,2730.534,140.639
1464.579,2730.041,140.55
1467.64,2729.551,140.462
1470.701,2729.064,140.374
1473.763,2728.58,140.287
1476.825,2728.098,140.199
1479.888,2727.619,140.112
1482.556,2727.204,140.038
1485.224,2726.791,139.963
1487.893,2726.38,139.888
1490.561,2725.97,139.814
1493.231,2725.563,139.74
1495.9,2725.158,139.667
1498.075,2724.83,139.607
1500.251,2724.502,139.547
1501.339,2724.34,139.518
1503.317,2724.044,139.464
1505.542,2723.713,139.404
1506.779,2723.529,139.371
1508.015,2723.346,139.338
1510.241,2723.018,139.278
1512.22,2722.727,139.225
1515.287,2722.279,139.143
1518.355,2721.883,139.062
1521.423,2721.391,138.981
1524.492,2720.951,138.901
1527.561,2720.519,138.821
1530.68,2720.078,138.742
1533.7,2719.646,138.662
1536.374,2719.271,138.594
1539.048,2718.899,138.526
1541.723,2718.529,138.458
1544.398,2718.161,138.39
1547.073,2717.795,138.323
1549.748,2717.431,138.256
1551.928,2717.135,138.202
1554.108,2716.842,138.148
1555.198,2716.695,138.121
1557.181,2716.43,138.072
1559.411,2716.133,138.018
1560.65,2715.969,137.987
1561.889,2715.805,137.957
1564.12,2715.51,137.903
1566.103,2715.25,137.855
1569.177,2714.849,137.781
1572.252,2714.45,137.707
1575.326,2714.054,137.635
1578.401,2713.661,137.562
1581.476,2713.271,137.49
1584.552,2712.883,137.418
1587.628,2712.497,137.346
1590.307,2712.165,137.285
1592.987,2711.833,137.223
1595.667,2711.504,137.162
1598.347,2711.177,137.102
1601.027,2710.852,137.041
1603.708,2710.529,136.981
1605.892,2710.268,136.932
1608.077,2710.007,136.883
1609.169,2709.877,136.859
1611.155,2709.642,136.816
1613.39,2709.379,136.766
1614.631,2709.234,136.739
1615.873,2709.089,136.712
1618.107,2708.829,136.664
1620.094,2708.599,136.621
1623.174,2708.245,136.554
1626.254,2707.894,136.488
1629.335,2707.545,136.423
1632.415,2707.199,136.358
1635.496,2706.856,136.293
1638.578,2706.515,136.229
1641.659,2706.178,136.165
1644.343,2705.885,136.11
1647.028,2705.595,136.056
1649.712,2705.307,136.001
1652.397,2705.021,135.947
1655.082,2704.737,135.893
1657.767,2704.455,135.84
1659.955,2704.227,135.796
1662.144,2704,135.753
1663.238,2703.887,135.732
1665.227,2703.683,135.693
1667.465,2703.454,135.649
1668.709,2703.328,135.625
1669.953,2703.202,135.601
1672.191,2702.976,135.558
1674.181,2702.777,135.52
1677.266,2702.47,135.461
1680.351,2702.165,135.403
1683.439,2701.864,135.346
1686.522,2701.566,135.288
1689.608,2701.27,135.231
1692.694,2700.977,135.175
1695.78,2700.686,135.118
1698.468,2700.434,135.07
1701.158,2700.186,135.022
1703.846,2699.939,134.975
1706.535,2699.694,134.927
1709.224,2699.451,134.88
1711.913,2699.211,134.833
1714.105,2699.016,134.795
1716.296,2698.823,134.758
1717.391,2698.727,134.739
1719.384,2698.553,134.705
1721.626,2698.358,134.667
1722.871,2698.251,134.646
1724.116,2698.144,134.625
1726.358,2697.952,134.588
1728.351,2697.783,134.555
1731.44,2697.524,134.503
1734.53,2697.268,134.452
1737.619,2697.013,134.403
1740.709,2696.762,134.353
1743.799,2696.513,134.304
1746.889,2696.267,134.255
1749.98,2696.023,134.206
1752.672,2695.814,134.165
1755.364,2695.606,134.123
1758.056,2695.401,134.082
1760.748,2695.197,134.041
1763.441,2694.996,134.001
1766.133,2694.796,133.961
1768.327,2694.635,133.928
1770.522,2694.475,133.896
1771.618,2694.395,133.88
1773.613,2694.252,133.851
1775.858,2694.093,133.818
1777.104,2694.004,133.801
1778.352,2693.917,133.783
1780.596,2693.76,133.751
1782.591,2693.621,133.723
1785.684,2693.409,133.679
1788.777,2693.2,133.637
1791.87,2692.992,133.595
1794.964,2692.789,133.552
1798.056,2692.588,133.511
1801.15,2692.388,133.469
1804.244,2692.193,133.429
1806.939,2692.025,133.394
1809.634,2691.858,133.359
1812.329,2691.694,133.325
1815.024,2691.531,133.29
1817.719,2691.371,133.257
1820.415,2691.212,133.224
1822.611,2691.086,133.196
1824.807,2690.959,133.17
1825.906,2690.897,133.157
1827.903,2690.784,133.133
1830.149,2690.659,133.106
1831.397,2690.589,133.091
1832.645,2690.521,133.076
1834.892,2690.398,133.05
1836.889,2690.29,133.026
1839.984,2690.125,132.99
1843.08,2689.963,132.955
1846.176,2689.804,132.92
1849.272,2689.648,132.886
1852.368,2689.494,132.852
1855.464,2689.343,132.819
1858.561,2689.194,132.786
1861.258,2689.066,132.757
1863.955,2688.941,132.729
1866.652,2688.819,132.701
1869.35,2688.698,132.674
1872.047,2688.578,132.647
1874.744,2688.462,132.62
1876.942,2688.368,132.599
1879.14,2688.276,132.577
1880.24,2688.23,132.567
1882.238,2688.148,132.548
1884.486,2688.057,132.527
1885.735,2688.007,132.515
1886.984,2687.957,132.503
1889.232,2687.869,132.482
1891.231,2687.792,132.464
1894.329,2687.674,132.436
1897.426,2687.56,132.409
1900.524,2687.449,132.381
1903.623,2687.339,132.355
1906.721,2687.233,132.328
1909.819,2687.129,132.302
1912.917,2687.027,132.278
1915.616,2686.942,132.255
1918.315,2686.858,132.234
1921.013,2686.776,132.213
1923.712,2686.697,132.192
1926.411,2686.62,132.172
1929.11,2686.544,132.152
1931.309,2686.484,132.135
1933.508,2686.425,132.12
1934.608,2686.396,132.112
1936.607,2686.345,132.098
1938.857,2686.288,132.082
1940.106,2686.257,132.073
1941.356,2686.227,132.065
